sbt1_1951,sbt1_1952,sbt1_1953,sbt1_1954,sbt1_1955,sbt1_1956,sbt1_1957,sbt1_1958,sbt1_1959,sbt1_1960,sbt1_1961,sbt1_1962,sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003,sbt1_2004,sbt1_2005,sbt1_2006,sbt1_2007,sbt1_2008,sbt1_2009,sbt1_2010,sbt1_2011,sbt1_2012,sbt1_2013,sbt1_2014,sbt1_2015,sbt1_2016,sbt1_2017,sbt1_2018,sbt1_2019,sbt1_2020,sbt1_2021,sbt1_2022,sbt1_2023
45.4055,19.2632,31.4502,30.5576,36.5818,14.5601,10.0207,18.7804,19.2961,23.4149,24.3491,44.9268,30.3836,15.4177,11.3771,9.06719,15.6575,11.6825,12.0731,17.6178,20.0282,22.2393,29.7221,29.7163,32.5512,26.9056,23.8972,17.4157,32.1343,64.5799,68.3399,63.9288,48.4237,34.7299,37.1934,34.7168,39.2732,55.7684,42.5935,32.4439,31.5622,43.3762,35.3357,26.5872,17.9191,20.735,29.6672,31.9345,28.7589,25.41,19.5043,18.7695,22.2035,17.8948,14.2493,8.30276,7.39195,7.16581,10.1496,11.3971,11.7161,11.0589,16.6749,18.004,22.3561,22.493,22.6044,26.3385,37.3789,28.8835,20.3353,13.6526,9.62275
53.3288,23.7754,33.7992,37.884,36.3862,18.0608,16.5457,25.8844,23.2962,24.3269,23.4751,41.038,23.733,15.2359,13.1238,6.80711,10.0002,9.06904,12.1562,21.7212,26.6314,30.9424,38.9911,38.4566,40.5284,31.8843,28.1411,19.6711,35.7956,72.7641,77.476,72.6878,54.7222,39.7231,41.5149,38.2228,42.5612,59.8614,43.5829,31.4221,31.2837,44.2974,37.9495,29.0347,19.9932,24.6834,34.9419,39.0917,34.3998,29.816,20.9517,18.9238,20.306,15.1645,12.0365,6.82465,6.05079,5.8829,8.55493,9.90036,10.3401,10.4275,16.9375,18.7848,23.6128,24.6245,25.9816,28.2744,37.2381,28.0429,19.2817,15.3635,12.4775
53.8995,26.4546,34.6583,36.9275,38.6169,15.1872,12.4203,19.8078,17.1321,20.7838,20.245,37.2448,29.2314,18.1892,17.0998,6.48895,9.4815,11.454,14.2858,20.9106,23.6845,26.7918,35.465,37.1209,41.2684,33.0035,30.3604,22.7178,40.1095,77.6543,80.9322,75.9236,57.1386,38.2898,37.0349,33.1674,38.3359,54.1128,40.2747,29.6554,28.5113,39.9373,33.844,26.676,18.8049,23.5956,35.3126,37.7416,33.8813,30.5669,23.6205,23.6134,28.0393,20.5667,14.2372,7.08972,5.75062,5.57466,8.12989,9.1154,9.22954,9.41843,14.8548,17.002,22.7408,22.5176,21.9266,23.6497,31.196,26.0906,21.6824,22.987,24.9873
41.9502,19.4071,27.3692,27.3924,32.2036,11.0101,12.0022,21.5714,18.8846,23.4873,22.1371,41.669,31.2734,18.7234,18.7418,6.66593,7.60677,8.82456,11.3904,18.6485,22.6969,26.5997,33.7465,34.1328,35.8578,28.8428,25.7443,16.9743,29.2352,55.8636,57.8691,54.778,41.6359,29.1833,30.5064,28.8634,33.3003,48.7893,37.2382,27.6269,27.8989,40.8585,35.8255,27.6467,19.0585,22.9898,32.4876,33.6647,30.9141,28.9702,21.4633,20.7131,24.5055,19.3022,14.6439,8.71983,7.40044,7.10894,10.0562,11.0866,10.7267,10.4907,15.826,16.5644,20.3336,18.9324,17.8046,20.0256,31.0132,29.8079,29.2325,42.067,62.929
52.0968,27.0686,38.1961,40.8618,41.6669,17.4358,13.8112,20.6511,21.2575,24.1153,23.7395,38.8985,28.0724,19.4527,18.1177,6.71098,9.0484,9.70385,11.9948,17.4094,20.5784,24.2383,31.886,32.4666,36.6431,30.1243,26.8534,17.6136,32.9087,64.7227,62.7434,56.1598,40.8462,28.2923,29.9327,29.9426,38.7469,62.7184,49.8586,38.0527,38.0537,53.9843,43.6539,32.8774,21.0983,23.9598,34.4799,36.3789,32.0157,28.6859,21.7955,21.9252,27.3463,20.2454,13.8697,7.45177,5.67079,5.53485,8.12272,9.06265,9.33319,9.52726,15.2276,16.3955,20.1837,19.0421,17.7101,18.8266,27.0327,23.0059,19.6812,24.2636,29.6224
66.4229,38.7593,45.6749,48.8591,45.963,22.7614,15.6287,25.4594,26.7743,27.2703,26.8493,44.0216,30.9951,16.4789,15.6202,6.00142,8.66779,8.52381,11.2772,17.908,22.4601,25.7056,33.6409,35.5392,40.5182,33.6392,32.6872,25.8094,47.5189,93.8452,93.2298,85.9852,63.9988,46.6974,50.1176,46.8875,54.5572,76.273,55.8297,41.2234,40.0262,52.2505,41.0506,31.1028,20.5158,22.5468,31.405,34.1784,28.7173,25.481,19.2356,17.7347,20.691,16.889,14.2969,8.65617,7.36215,6.4804,8.54204,9.46304,9.50222,9.16564,14.6432,16.8204,22.1079,21.1632,20.6344,23.7854,33.5357,28.3682,23.3096,20.601,18.6117
89.8772,52.4489,56.1561,47.2163,41.9022,14.5423,13.9723,24.9506,29.2604,29.2026,26.3332,37.8839,26.8604,14.7143,11.5225,5.56691,6.80682,7.76154,11.107,18.829,21.4694,22.6116,30.7561,33.6149,38.2754,30.7801,30.2004,23.2805,41.4963,82.1344,80.249,72.1597,52.2915,36.7492,39.9308,39.6496,45.0537,62.0403,48.4123,36.6257,36.1801,49.3996,40.9031,31.237,20.83,24.5108,33.6154,35.9255,30.7889,27.9011,20.7802,21.4025,27.0181,20.3087,14.8105,8.2488,7.05691,6.51296,8.77467,9.29105,9.11287,8.75804,14.1167,16.8967,23.4869,24.5422,25.1996,28.2684,37.744,27.3694,16.3387,8.71373,4.99471
82.1513,47.8047,55.0618,50.4946,48.0027,19.2462,15.4139,21.7871,26.1615,26.9239,23.1725,41.6404,28.9462,16.0449,14.8264,5.71091,7.35471,8.96508,11.162,17.3805,21.9673,23.4802,30.7282,33.3375,37.7258,32.6696,29.8851,20.5253,33.5881,61.8225,61.9434,58.0928,43.9372,32.049,36.3608,36.4146,42.4992,60.0755,46.9157,36.3326,36.7192,49.1915,40.8117,30.8536,20.2656,22.9445,31.7462,34.0692,30.1596,27.5285,21.4333,21.1444,25.7129,19.297,14.2312,8.03941,6.91028,6.23408,8.40606,9.11209,9.28214,8.71814,13.2294,14.0733,17.5426,17.7354,17.7049,20.7085,33.7936,29.6896,24.9748,27.1623,30.0568
88.0452,57.4214,61.2734,56.4875,48.6656,17.0699,10.2814,19.5507,24.136,26.8851,27.7123,48.4132,32.407,19.0273,18.4041,5.95796,5.95165,7.92632,11.3848,19.6392,23.3625,26.6785,34.3234,34.4358,35.8127,28.4795,25.1418,17.6362,30.6455,59.615,63.1197,60.3633,46.0597,32.8747,34.547,32.5897,39.226,57.3589,43.9532,33.5351,33.0202,47.1023,38.7534,28.697,19.1984,21.6389,31.1155,31.5941,26.9551,23.9819,17.5943,17.1763,21.7348,17.7387,13.6479,8.6243,7.67346,7.20235,10.2126,11.2359,11.6317,11.1505,16.707,17.8785,22.2651,22.229,21.9951,24.9906,34.0213,26.433,19.4081,17.239,14.0176
80.3588,47.2936,54.382,43.5876,38.0931,12.7624,10.1289,19.8791,17.5569,20.304,20.3339,34.8279,21.8713,12.9007,12.1623,6.05417,10.1373,10.0317,13.4624,22.0347,26.4541,30.3252,39.4132,40.3297,43.1905,33.6824,29.1034,20.2172,36.2476,72.8025,74.4071,70.6877,53.1387,37.8053,40.636,38.6185,45.2218,63.8071,48.6425,36.4161,36.0328,49.7507,41.9216,31.5964,21.4603,24.4074,33.4604,34.7955,30.5268,26.2755,19.8394,19.5775,25.3386,20.5672,14.8818,9.34597,7.98569,7.76894,10.8898,11.5153,11.1833,9.78821,13.927,13.7746,16.6627,16.2965,16.1176,19.4508,32.0123,27.3907,21.23,17.2648,14.4272
80.6715,42.6523,47.7215,44.5772,42.5402,15.8076,10.1942,18.1882,21.6053,24.9788,25.1823,37.3013,23.5852,13.9075,12.5045,5.56525,7.13182,9.13403,12.5102,18.3339,21.3849,22.8355,30.3379,31.3978,35.9634,29.9322,27.4152,20.2813,35.6196,70.4524,76.6948,73.8908,56.5494,40.3747,41.3534,38.2434,43.9174,61.5304,47.197,35.813,34.3713,45.4576,38.4963,29.8547,20.756,24.5252,34.2927,37.7861,34.0211,31.609,24.5268,21.8861,23.5321,17.7084,12.6448,7.16345,6.29546,6.51799,9.2518,10.1044,9.9477,8.95269,13.5926,13.8587,17.1465,17.4794,18.2005,21.2713,32.3034,29.2911,26.5608,28.104,26.5409
55.489,24.3798,32.1194,34.2561,38.2983,12.6583,11.1718,19.4255,18.2619,24.2099,25.7441,39.2077,27.1595,15.4187,14.8803,6.11536,7.12273,7.2299,10.3585,18.5414,21.6656,24.3024,31.0059,30.4238,33.1517,26.3239,24.0868,17.215,32.4615,67.7778,74.4689,73.8263,57.8627,43.2775,46.0835,40.9706,45.6647,61.1798,44.2197,31.8208,29.8105,41.6693,35.3285,27.1781,18.487,22.1243,33.6941,37.8306,34.7935,31.7722,25.0796,23.0865,26.3469,20.0172,13.9639,7.9847,7.0139,7.1879,10.7739,12.0125,12.6747,12.4821,19.6007,20.5931,23.9743,21.0149,17.8809,18.9314,27.4044,20.4799,15.4984,15.2788,15.3254
